DEBUG (14): receive 1 1, time: 0:0:0.648605321
DEBUG (13): send 1 1, time: 0:0:0.651367197
DEBUG (17): receive 1 1, time: 0:0:0.654327334
DEBUG (15): receive 1 1, time: 0:0:0.654327334
DEBUG (8): receive 1 1, time: 0:0:0.654327334
DEBUG (12): receive 1 1, time: 0:0:0.654327334
DEBUG (2): receive 1 1, time: 0:0:0.654327334
DEBUG (5): receive 1 1, time: 0:0:0.654327334
DEBUG (16): receive 1 1, time: 0:0:0.654327334
DEBUG (4): receive 1 1, time: 0:0:0.654327334
DEBUG (9): receive 1 1, time: 0:0:0.654327334
DEBUG (13): receive 1 1, time: 0:0:0.654327334
DEBUG (3): receive 1 1, time: 0:0:0.654327334
DEBUG (11): receive 1 1, time: 0:0:0.654327334
DEBUG (10): receive 1 1, time: 0:0:0.654327334
DEBUG (14): receive 1 1, time: 0:0:0.654327334
DEBUG (9): receive 1 1, time: 0:0:0.656127911
DEBUG (5): receive 1 1, time: 0:0:0.656127911
DEBUG (1): receive 1 1, time: 0:0:0.656127911
DEBUG (3): receive 1 1, time: 0:0:0.656127911
DEBUG (15): receive 1 1, time: 0:0:0.656127911
DEBUG (10): receive 1 1, time: 0:0:0.656127911
DEBUG (7): receive 1 1, time: 0:0:0.656127911
DEBUG (4): receive 1 1, time: 0:0:0.656127911
DEBUG (2): receive 1 1, time: 0:0:0.656127911
DEBUG (14): receive 1 1, time: 0:0:0.656127911
DEBUG (17): receive 1 1, time: 0:0:0.656127911
DEBUG (6): receive 1 1, time: 0:0:0.656127911
DEBUG (11): receive 1 1, time: 0:0:0.656127911
DEBUG (14): send 1 1, time: 0:0:0.656250010
DEBUG (17): receive 1 1, time: 0:0:0.660232530
DEBUG (2): receive 1 1, time: 0:0:0.660232530
DEBUG (6): receive 1 1, time: 0:0:0.660232530
DEBUG (4): receive 1 1, time: 0:0:0.660232530
DEBUG (3): receive 1 1, time: 0:0:0.660232530
DEBUG (1): receive 1 1, time: 0:0:0.660232530
DEBUG (7): receive 1 1, time: 0:0:0.660232530
DEBUG (11): receive 1 1, time: 0:0:0.660232530
DEBUG (9): receive 1 1, time: 0:0:0.660232530
DEBUG (5): receive 1 1, time: 0:0:0.660232530
DEBUG (10): receive 1 1, time: 0:0:0.660232530
DEBUG (15): receive 1 1, time: 0:0:0.660232530
DEBUG (13): receive 1 1, time: 0:0:0.660232530
DEBUG (15): send 1 1, time: 0:0:0.661132822
DEBUG (17): receive 1 1, time: 0:0:0.664169303
DEBUG (7): receive 1 1, time: 0:0:0.664169303
DEBUG (14): receive 1 1, time: 0:0:0.664169303
DEBUG (1): receive 1 1, time: 0:0:0.664169303
DEBUG (13): receive 1 1, time: 0:0:0.664169303
DEBUG (11): receive 1 1, time: 0:0:0.664169303
DEBUG (8): receive 1 1, time: 0:0:0.664169303
DEBUG (5): receive 1 1, time: 0:0:0.664169303
DEBUG (10): receive 1 1, time: 0:0:0.664169303
DEBUG (16): send 1 1, time: 0:0:0.686523447
DEBUG (17): send 1 1, time: 0:0:0.691406260
DEBUG (17): receive 1 1, time: 0:0:0.692123390
DEBUG (12): receive 1 1, time: 0:0:0.692123390
DEBUG (6): receive 1 1, time: 0:0:0.692123390
DEBUG (5): receive 1 1, time: 0:0:0.692123390
DEBUG (4): receive 1 1, time: 0:0:0.692123390
DEBUG (3): receive 1 1, time: 0:0:0.692123390
DEBUG (11): receive 1 1, time: 0:0:0.692123390
DEBUG (10): receive 1 1, time: 0:0:0.692123390
DEBUG (9): receive 1 1, time: 0:0:0.692123390
DEBUG (7): receive 1 1, time: 0:0:0.692123390
DEBUG (7): receive 1 1, time: 0:0:0.697357153
